id,title,original_folder,archive_part,master_file,stem_count,midi_count,file_count,bytes
1,6080_Bach-Jes,6080_Bach-Jes,1,1_master.mp3,4,4,11,7051265
2,Ad_te_levavi_Webbe,Ad_te_levavi_Webbe,1,2_master.mp3,4,6,13,26921054
3,Adoramus_te_Perti_I,Adoramus_te_Perti_I,1,3_master.mp3,4,4,11,13925318
4,Agostini-Ecco_l_eterna_luce,Agostini-Ecco_l_eterna_luce,1,4_master.mp3,4,4,11,24413766
5,Aiblinger_5Inveni_David,Aiblinger_5Inveni_David,1,5_master.mp3,4,6,13,53623741
6,Alleluia_Bernabei,Alleluia_Bernabei,1,6_master.mp3,4,4,11,10664636
7,Allison-It_is_a_thing_both_good_Ps_92,Allison-It_is_a_thing_both_good_Ps_92,1,7_master.mp3,4,4,11,7611093
11,AnthemHowAmiableHolden1796bpr,AnthemHowAmiableHolden1796bpr,1,11_master.mp3,4,4,11,33720609
12,BelgorodFrench1789bpr,BelgorodFrench1789bpr,1,12_master.mp3,4,4,11,13282142
13,Benedictus_Ortiz,Benedictus_Ortiz,1,13_master.mp3,4,4,11,77964729
14,BethlehemBillings1778a,BethlehemBillings1778a,1,14_master.mp3,4,4,11,13883659
16,Bourguignon-Or_nay_ie_plus,Bourguignon-Or_nay_ie_plus,1,16_master.mp3,4,4,11,9212152
19,BrownfordHolyoke1803bpr,BrownfordHolyoke1803bpr,1,19_master.mp3,4,4,11,6257273
20,Buus-Le_feu_qui_m_ard,Buus-Le_feu_qui_m_ard,1,20_master.mp3,4,4,11,23566707
21,ByfordBrownson1783bpr,ByfordBrownson1783bpr,1,21_master.mp3,4,4,11,9325618
22,BYRD-DE1,BYRD-DE1,1,22_master.mp3,4,4,11,14255993
23,Carmina_Chromatica,Carmina_Chromatica,1,23_master.mp3,4,4,11,11614724
24,Casulana-Ben_venga_il_pastor,Casulana-Ben_venga_il_pastor,1,24_master.mp3,4,4,11,11610470
26,Certon-Peur_de_refuz,Certon-Peur_de_refuz,1,26_master.mp3,4,4,11,14418230
36,Clemens-Frais_et_gaillard,Clemens-Frais_et_gaillard,1,36_master.mp3,4,4,11,32420287
40,Confirma_hoc_Deus_Lutz,Confirma_hoc_Deus_Lutz,1,40_master.mp3,4,6,13,28938233
41,ContentJanes1803bpr,ContentJanes1803bpr,1,41_master.mp3,4,4,11,8327933
42,Ego sum panis vivus (Juan Esquivel),0403,1,42_master.mp3,4,4,11,25934096
43,Adeste fideles (Traditional),0406,1,43_master.mp3,4,6,13,28974944
45,Hide not thou thy face (Richard Farrant),0411,1,45_master.mp3,4,5,12,14216136
46,My days are as the grass,0412,1,46_master.mp3,4,4,11,8570759
48,Etans assis aux rives aquatiques (Claude Goudimel),0416,1,48_master.mp3,4,4,11,51426332
50,Quando benigna (Benedetto Pallavicino),0421,1,50_master.mp3,4,4,11,22412695
51,I syng of a mayden,0422,1,51_master.mp3,4,4,11,20017491
52,Christ our passover is sacrificed for us (John Goss),0428,1,52_master.mp3,4,6,13,30555982
53,It was a lover and his lass (Thomas Morley),0436,1,53_master.mp3,4,4,11,13417004
54,Oncques bon cueur (Ebran),0438,1,54_master.mp3,4,4,11,15816456
55,Ton gentil corps (Thomas Crecquillon),0440,1,55_master.mp3,4,4,11,20212087
56,"O God our Lord, how wonderful (Thomas Clark)",0442,1,56_master.mp3,4,5,12,12114020
58,Exaudi Domine vocem meam (Sigismondo d'India),0447,1,58_master.mp3,4,6,13,44416005
59,Gaudeamus II (Andr Vierendeels),0451,1,59_master.mp3,4,4,11,24815208
60,"Jesu, lover of my soul (Leveland) (Thomas Clark)",0454,1,60_master.mp3,4,4,11,7617663
61,"Tenebrae factae sunt, ZWV 55:14 (Jan Dismas Zelenka)",0467,1,61_master.mp3,4,5,12,64668499
62,So ell encina (Anonymous),0475,1,62_master.mp3,4,4,11,7251718
