song_id,song_title,original_folder,download_log_row,manifest_source_file,cpdl_source_title,cpdl_media_filename,cpdl_media_url,edition_license,editor,cpdl_number,posted_date,cpdl_work_page,rights_review_status
1,6080_Bach-Jes,6080_Bach-Jes,317,6080_Bach-Jes.mxl,"Jesus, unser Trost und Leben, BWV 475 (Johann Sebastian Bach)",6080_Bach-Jes.mxl,https://www.cpdl.org/wiki/images/b/b5/6080_Bach-Jes.mxl,CPDL,Andrew Crookall,6080,2003-11-20,"https://www.cpdl.org/wiki/index.php/Jesu,_hope_of_men_despairing._BWV_475_(Johann_Sebastian_Bach)",redistributable_cpdl_terms
2,Ad_te_levavi_Webbe,Ad_te_levavi_Webbe,145,Ad_te_levavi_Webbe.mxl,Ad te levavi (Samuel Webbe),Ad_te_levavi_Webbe.mxl,https://www.cpdl.org/wiki/images/e/e0/Ad_te_levavi_Webbe.mxl,CPDL,James Gibb,30837,2013-12-23,https://www.cpdl.org/wiki/index.php/Ad_te_levavi_(Samuel_Webbe),redistributable_cpdl_terms
3,Adoramus_te_Perti_I,Adoramus_te_Perti_I,228,Adoramus_te_Perti_I.mxl,Adoramus te (Giacomo Antonio Perti),Adoramus_te_Perti_I.mxl,https://www.cpdl.org/wiki/images/3/3a/Adoramus_te_Perti_I.mxl,CPDL,James Gibb,26231,2012-05-20,"https://www.cpdl.org/wiki/index.php/Adoramus_te,_Christe_I_(Giacomo_Antonio_Perti)",redistributable_cpdl_terms
4,Agostini-Ecco_l_eterna_luce,Agostini-Ecco_l_eterna_luce,54,Agostini-Ecco_l'eterna_luce.mxl,Ecco l'eterna luce (Lodovico Agostini),Agostini-Ecco_l'eterna_luce.mxl,https://www.cpdl.org/wiki/images/6/64/Agostini-Ecco_l%27eterna_luce.mxl,CPDL,Willem Verkaik,43082,2017-02-12,https://www.cpdl.org/wiki/index.php/Ecco_l'eterna_luce_(Lodovico_Agostini),redistributable_cpdl_terms
5,Aiblinger_5Inveni_David,Aiblinger_5Inveni_David,201,Aiblinger_5Inveni_David.mxl,Inveni David (Johann Kaspar Aiblinger),Aiblinger_5Inveni_David.mxl,https://www.cpdl.org/wiki/images/8/81/Aiblinger_5Inveni_David.mxl,Creative Commons Attribution Non-Commercial,Nikolaus Hold,46142,2017-08-31,"https://www.cpdl.org/wiki/index.php/Inveni_David,_Op._9,_No._11_(Johann_Kaspar_Aiblinger)",review_creative_commons_variant
6,Alleluia_Bernabei,Alleluia_Bernabei,308,Alleluia_Bernabei.mxl,Alleluia (Giuseppe Antonio Bernabei),Alleluia_Bernabei.mxl,https://www.cpdl.org/wiki/images/f/f0/Alleluia_Bernabei.mxl,CPDL,James Gibb,37587,2015-11-19,https://www.cpdl.org/wiki/index.php/Alleluia_(Giuseppe_Antonio_Bernabei),redistributable_cpdl_terms
7,Allison-It_is_a_thing_both_good_Ps_92,Allison-It_is_a_thing_both_good_Ps_92,271,Allison-It_is_a_thing_both_good_(Ps_92).mxl,It is a thing both good and meet (Richard Allison),Allison-It_is_a_thing_both_good_(Ps_92).mxl,https://www.cpdl.org/wiki/images/e/ec/Allison-It_is_a_thing_both_good_%28Ps_92%29.mxl,CPDL,André Vierendeels,41353,2016-10-08,https://www.cpdl.org/wiki/index.php/It_is_a_thing_both_good_and_meet_(Richard_Allison),redistributable_cpdl_terms
11,AnthemHowAmiableHolden1796bpr,AnthemHowAmiableHolden1796bpr,376,AnthemHowAmiableHolden1796bpr.mxl,How amiable are Thy tabernacles (Oliver Holden),AnthemHowAmiableHolden1796bpr.mxl,https://www.cpdl.org/wiki/images/d/d2/AnthemHowAmiableHolden1796bpr.mxl,Public Domain,Barry Johnston,36232,2015-07-24,https://www.cpdl.org/wiki/index.php/How_amiable_are_Thy_tabernacles_(Oliver_Holden),public_domain_marker
12,BelgorodFrench1789bpr,BelgorodFrench1789bpr,213,BelgorodFrench1789bpr.mxl,Belgorod (Jacob French),BelgorodFrench1789bpr.mxl,https://www.cpdl.org/wiki/images/9/94/BelgorodFrench1789bpr.mxl,Public Domain,Barry Johnston,49357,2018-04-16,https://www.cpdl.org/wiki/index.php/Belgorod_(Jacob_French),public_domain_marker
13,Benedictus_Ortiz,Benedictus_Ortiz,9,Benedictus_Ortiz.mxl,Benedictus Dominus Deus Israel (Diego Ortiz),Benedictus_Ortiz.mxl,https://www.cpdl.org/wiki/images/5/52/Benedictus_Ortiz.mxl,CPDL,James Gibb,27650,2012-11-23,https://www.cpdl.org/wiki/index.php/Benedictus_Dominus_Deus_Israel_(Diego_Ortiz),redistributable_cpdl_terms
